Date,Region,State,Sales Rep,Product,Category,Units Sold,Revenue,Profit,Customer Type,Customer Segment,Channel,Profit Margin
2024-01-01,East,Ohio,Bob,Gamma,Electronics,5,436.02,112.91,New,SMB,Online,25.895601119214717
2024-01-01,East,North Carolina,Alice,Delta,Furniture,16,759.57,267.47,New,SMB,Retail,35.21334439222192
2024-01-01,East,Pennsylvania,Bob,Epsilon,Electronics,33,1421.52,506.63,Returning,SMB,Online,35.640019134447634
2024-01-01,West,New York,Diana,Gamma,Furniture,42,3731.94,1407.33,New,Enterprise,Online,37.71041335069695
2024-01-01,West,Michigan,Diana,Epsilon,Electronics,3,213.83,24.17,Returning,Enterprise,Retail,11.303371837440958
2024-01-01,East,Florida,Diana,Beta,Office Supplies,20,585.59,178.79,New,Individual,Online,30.531600607933875
2023-12-31,South,New York,Diana,Beta,Electronics,22,1688.45,629.34,New,SMB,Online,37.27323876928544
2023-12-31,East,Georgia,Bob,Alpha,Electronics,15,694.83,235.92,New,Individual,Online,33.953628945209616
2023-12-31,East,New York,Bob,Gamma,Office Supplies,4,180.31,47.61,New,Individual,Online,26.4045255393489
2023-12-30,South,Illinois,Bob,Delta,Office Supplies,46,2869.73,932.52,New,SMB,Online,32.49504308767724
2023-12-30,West,Ohio,Bob,Epsilon,Office Supplies,44,1312.75,246.91,Returning,Enterprise,Retail,18.80860788421253
2023-12-29,North,North Carolina,Bob,Gamma,Furniture,40,1846.7,406.1,New,SMB,Online,21.99057778740456
2023-12-29,West,California,Alice,Gamma,Furniture,13,1285.05,341.57,New,SMB,Retail,26.580288704719663
2023-12-29,West,New York,Diana,Epsilon,Office Supplies,9,620.61,153.14,New,SMB,Retail,24.675722273247285
2023-12-29,South,Ohio,Bob,Delta,Furniture,41,3826.13,1027.7,New,Enterprise,Retail,26.860038733655156
2023-12-28,West,California,Diana,Epsilon,Electronics,10,321.74,65.42,New,Individual,Retail,20.3331882886803
2023-12-28,West,Ohio,Alice,Alpha,Office Supplies,7,379.15,87.77,Returning,Enterprise,Online,23.14914941316102
2023-12-27,East,Texas,Charlie,Gamma,Electronics,18,441.87,150.48,New,SMB,Retail,34.055265123226285
2023-12-27,South,Michigan,Bob,Beta,Electronics,24,1557.69,262.65,New,SMB,Retail,16.861506461491054
2023-12-27,North,Georgia,Charlie,Epsilon,Electronics,42,3990.79,1086.86,Returning,Enterprise,Online,27.23420676106735
2023-12-27,North,Ohio,Bob,Gamma,Electronics,40,1404.67,294.62,New,Individual,Online,20.974321370855787
2023-12-26,South,Pennsylvania,Charlie,Beta,Electronics,37,3326.63,1219.69,Returning,Individual,Retail,36.6644321731001
2023-12-24,East,Ohio,Alice,Beta,Furniture,7,277.99,109.92,New,Enterprise,Retail,39.540990683118096
2023-12-24,East,Ohio,Alice,Beta,Furniture,19,1743.89,263.51,Returning,Enterprise,Online,15.11047141734857
2023-12-23,South,Ohio,Charlie,Beta,Office Supplies,49,1284.11,227.12,New,SMB,Retail,17.68695828239014
2023-12-22,West,Texas,Charlie,Delta,Furniture,26,635.04,96.23,Returning,SMB,Retail,15.15337616528093
2023-12-22,West,Florida,Charlie,Alpha,Office Supplies,33,2893.2,833,Returning,Enterprise,Retail,28.791649384764277
2023-12-22,North,North Carolina,Charlie,Delta,Electronics,25,1259.3,192.49,Returning,Individual,Retail,15.28547605812753
2023-12-22,East,California,Diana,Beta,Electronics,5,259.14,60.27,Returning,Individual,Retail,23.257698541329013
2023-12-22,West,Florida,Charlie,Alpha,Electronics,19,715.87,229.12,Returning,Enterprise,Retail,32.005811110955904
2023-12-22,East,New York,Diana,Alpha,Electronics,28,1510.25,224.51,New,Enterprise,Online,14.865750703525906
2023-12-22,South,Ohio,Bob,Delta,Furniture,2,126.43,19.38,New,Enterprise,Online,15.328640354346277
2023-12-21,West,New York,Charlie,Alpha,Furniture,47,2449.28,660.39,New,Enterprise,Retail,26.962617585576165
2023-12-21,North,Georgia,Alice,Delta,Electronics,28,739.6,151.62,Returning,SMB,Retail,20.500270416441317
2023-12-21,East,California,Bob,Gamma,Electronics,6,501.29,75.88,New,Individual,Retail,15.136946677571864
2023-12-21,South,Michigan,Diana,Alpha,Furniture,16,967.68,159.39,New,Individual,Online,16.471354166666664
2023-12-20,East,Pennsylvania,Diana,Beta,Office Supplies,23,2236.59,617.74,New,SMB,Retail,27.619724670145175
2023-12-20,South,Florida,Alice,Alpha,Office Supplies,8,728.2,159.63,Returning,SMB,Online,21.921175501235922
2023-12-20,South,Georgia,Diana,Delta,Electronics,11,648.47,227.96,New,SMB,Online,35.15351519731059
2023-12-19,North,New York,Bob,Delta,Electronics,15,690.26,235.53,Returning,SMB,Online,34.12192507171211
2023-12-19,East,Georgia,Alice,Beta,Furniture,22,802.5,93.44,New,Enterprise,Online,11.643613707165109
2023-12-19,South,California,Alice,Beta,Office Supplies,38,845.86,309.99,New,SMB,Retail,36.64790863736316
2023-12-19,West,Georgia,Bob,Gamma,Electronics,13,573.36,179.09,New,SMB,Online,31.235175108134506
2023-12-19,North,Texas,Bob,Epsilon,Electronics,46,1882.58,265.12,New,Enterprise,Retail,14.08280126209776
2023-12-18,South,New York,Charlie,Delta,Furniture,35,1113.26,392.43,Returning,Individual,Retail,35.2505254837145
2023-12-17,West,Texas,Charlie,Delta,Furniture,33,1846.57,633.32,New,SMB,Online,34.29710219488024
2023-12-17,North,New York,Alice,Epsilon,Furniture,4,218.37,44.42,New,SMB,Online,20.34162201767642
2023-12-17,West,Florida,Bob,Alpha,Office Supplies,21,1747,332.38,Returning,SMB,Online,19.02575844304522
2023-12-16,South,Ohio,Diana,Gamma,Office Supplies,48,4562.47,887.86,New,Enterprise,Retail,19.4600731621249
2023-12-15,East,Illinois,Alice,Beta,Furniture,38,2697.81,459.48,Returning,Individual,Retail,17.03159229152535
2023-12-15,East,Georgia,Diana,Beta,Electronics,26,2172.67,720.18,Returning,Individual,Online,33.14723358816571
2023-12-15,East,North Carolina,Charlie,Delta,Office Supplies,15,927.35,353.3,New,Enterprise,Online,38.09780557502561
2023-12-15,West,Ohio,Alice,Beta,Office Supplies,44,4187.06,701.11,Returning,Enterprise,Retail,16.74468481464321
2023-12-15,South,Michigan,Diana,Gamma,Electronics,6,251.75,44.35,New,Enterprise,Retail,17.616683217477657
2023-12-14,North,North Carolina,Diana,Gamma,Office Supplies,32,2807.96,309.45,New,SMB,Retail,11.02045613185373
2023-12-14,South,Texas,Bob,Epsilon,Office Supplies,20,412.29,153.86,New,Individual,Online,37.31839239370346
2023-12-14,West,Pennsylvania,Bob,Beta,Electronics,36,2738.11,906.51,Returning,Individual,Online,33.10714324844509
2023-12-14,West,Ohio,Alice,Delta,Furniture,31,2849.27,769.47,Returning,Individual,Retail,27.005864660070827
2023-12-13,North,North Carolina,Alice,Beta,Electronics,9,459.56,59.04,Returning,SMB,Retail,12.847071111497954
2023-12-13,West,Georgia,Alice,Alpha,Office Supplies,3,275.82,52.67,Returning,SMB,Retail,19.095787107533898
2023-12-12,North,Florida,Diana,Epsilon,Furniture,35,2825,742.43,Returning,Individual,Retail,26.280707964601767
2023-12-12,North,Texas,Diana,Beta,Office Supplies,10,481.47,187.88,New,Individual,Retail,39.022161297692485
2023-12-11,West,New York,Alice,Delta,Furniture,10,371.4,144.53,Returning,Individual,Retail,38.91491653204093
2023-12-11,East,Illinois,Charlie,Gamma,Electronics,1,68.78,21.97,New,SMB,Retail,31.942425123582435
2023-12-11,West,North Carolina,Diana,Delta,Office Supplies,24,1088.72,349.67,Returning,SMB,Retail,32.11753251524726
2023-12-11,West,Illinois,Alice,Delta,Electronics,23,607.5,231.01,New,SMB,Retail,38.02633744855967
2023-12-10,West,Georgia,Charlie,Beta,Electronics,21,1895.51,336.52,Returning,Individual,Online,17.753533349863623
2023-12-10,South,Ohio,Alice,Delta,Office Supplies,46,3620.14,964.87,New,Enterprise,Retail,26.652836630627547
2023-12-10,North,Georgia,Diana,Delta,Office Supplies,9,785.96,260.74,Returning,SMB,Retail,33.174716270548124
2023-12-10,North,Florida,Bob,Gamma,Furniture,27,1580.42,168.56,New,Enterprise,Retail,10.66551929234001
2023-12-09,South,Pennsylvania,Alice,Epsilon,Office Supplies,34,1210.94,383.15,New,Enterprise,Online,31.640708870794587
2023-12-08,West,Michigan,Alice,Beta,Electronics,10,606.1,199.08,Returning,Individual,Online,32.846065005774626
2023-12-07,West,Illinois,Charlie,Gamma,Office Supplies,43,3366.77,371.28,Returning,Enterprise,Online,11.027780335455049
2023-12-07,West,Illinois,Alice,Delta,Electronics,4,111.52,36.01,New,Enterprise,Online,32.290172166427546
2023-12-07,South,Georgia,Bob,Alpha,Office Supplies,29,2555.61,751.31,Returning,Enterprise,Online,29.398460641490676
2023-12-07,South,North Carolina,Bob,Beta,Furniture,31,2549.9,684.5,Returning,SMB,Online,26.84418996823405
2023-12-06,West,Pennsylvania,Charlie,Delta,Office Supplies,2,60.71,9.04,Returning,SMB,Online,14.890462856201614
2023-12-05,East,Ohio,Diana,Gamma,Office Supplies,34,1785.54,496.2,Returning,SMB,Online,27.789912295440033
2023-12-05,South,California,Bob,Beta,Electronics,44,3788.29,1311.3,New,Individual,Retail,34.61456224312289
2023-12-05,North,Ohio,Alice,Alpha,Electronics,44,1398.48,224.42,New,SMB,Online,16.047422916309134
2023-12-04,East,New York,Charlie,Epsilon,Office Supplies,34,2879.81,619.44,New,Individual,Online,21.50975237949726
2023-12-03,West,New York,Alice,Epsilon,Furniture,27,2519.21,356.89,New,SMB,Online,14.166742748718844
2023-12-03,North,Illinois,Diana,Delta,Electronics,35,1857.99,281.63,Returning,SMB,Retail,15.157778028945257
2023-12-03,East,Florida,Diana,Beta,Electronics,8,697.44,201.28,New,Enterprise,Retail,28.859830236292726
2023-12-02,East,Illinois,Bob,Epsilon,Furniture,48,1225.08,459.05,New,Individual,Retail,37.47102230058446
2023-12-02,East,North Carolina,Charlie,Alpha,Furniture,48,3495.32,822.07,New,SMB,Online,23.519162766213107
2023-12-02,South,Illinois,Bob,Beta,Electronics,30,2958.49,642.28,Returning,Individual,Online,21.70972354140119
2023-12-01,South,Florida,Alice,Epsilon,Electronics,31,2665.22,282.89,Returning,Individual,Online,10.61413316724323
2023-12-01,West,Michigan,Charlie,Gamma,Office Supplies,31,2781.98,602.48,New,Enterprise,Retail,21.65651801954004
2023-12-01,North,Florida,Charlie,Beta,Office Supplies,15,1342.13,147.08,New,Individual,Retail,10.958699976902386
2023-12-01,North,Pennsylvania,Alice,Delta,Electronics,43,1337.21,414.44,New,Individual,Online,30.992888177623556
2023-12-01,South,Michigan,Alice,Gamma,Electronics,8,344.71,36.75,New,Enterprise,Retail,10.661135447187492
2023-11-30,West,Florida,Alice,Alpha,Electronics,5,439.63,111.29,Returning,Enterprise,Online,25.314468985283078
2023-11-30,South,North Carolina,Diana,Delta,Furniture,31,2028.79,386.55,Returning,SMB,Retail,19.053228771829513
2023-11-30,South,New York,Diana,Gamma,Furniture,42,1541.28,484.66,Returning,SMB,Online,31.445292224644454
2023-11-30,North,Florida,Alice,Epsilon,Furniture,27,1600.95,371.21,Returning,SMB,Retail,23.18685780317936
2023-11-29,North,California,Alice,Delta,Office Supplies,22,849.02,140.35,Returning,Individual,Retail,16.53082377329156
2023-11-29,West,Ohio,Alice,Epsilon,Furniture,12,1030.52,122,New,Individual,Online,11.838683383146373
2023-11-29,West,Illinois,Bob,Delta,Furniture,30,2084.88,527.18,New,Enterprise,Online,25.285867771766235
2023-11-29,East,Ohio,Bob,Epsilon,Office Supplies,12,477.55,169.14,Returning,SMB,Retail,35.41828080829232
2023-11-29,South,North Carolina,Alice,Delta,Electronics,3,190.66,24.86,Returning,Enterprise,Online,13.038917444665898
2023-11-29,West,Pennsylvania,Charlie,Alpha,Furniture,41,1815.94,403.48,New,Enterprise,Online,22.21879577519081
2023-11-29,South,Georgia,Alice,Gamma,Furniture,4,355.04,51.77,Returning,Individual,Online,14.581455610635421
2023-11-29,North,Michigan,Charlie,Beta,Electronics,9,686.55,136.78,New,Enterprise,Online,19.922802417886533
2023-11-28,South,Florida,Alice,Beta,Electronics,48,4512.37,1212.55,Returning,Individual,Online,26.871688270243798
2023-11-27,North,North Carolina,Diana,Delta,Office Supplies,39,1757.56,345.52,Returning,Enterprise,Online,19.659072805480324
2023-11-27,East,Michigan,Diana,Gamma,Office Supplies,33,1696.77,552.47,New,SMB,Online,32.56009948313561
2023-11-27,North,Illinois,Charlie,Delta,Office Supplies,43,1173.4,269.07,New,Enterprise,Retail,22.930799386398498
2023-11-27,East,California,Alice,Epsilon,Furniture,26,1285.33,300.91,New,Individual,Retail,23.4111084312978
2023-11-27,North,Ohio,Bob,Alpha,Office Supplies,39,3182.64,537.73,Returning,Individual,Retail,16.895721790714628
2023-11-26,West,Michigan,Charlie,Gamma,Furniture,12,732.16,237.41,New,Individual,Online,32.42597246503497
2023-11-26,East,Ohio,Charlie,Epsilon,Office Supplies,38,3199.62,719.73,Returning,Individual,Online,22.494233690250717
2023-11-25,East,California,Bob,Delta,Electronics,43,2788.45,1006.29,Returning,Enterprise,Online,36.08779070809948
2023-11-24,South,Florida,Diana,Gamma,Electronics,28,2669.47,355.01,Returning,Individual,Online,13.298894537117857
2023-11-23,East,New York,Diana,Epsilon,Office Supplies,37,2280.03,383.27,Returning,Enterprise,Online,16.809866536843813
2023-11-23,West,Florida,Alice,Delta,Furniture,44,989.28,267.21,New,Individual,Retail,27.010553129548757
2023-11-23,North,Florida,Diana,Epsilon,Furniture,12,253.65,96.6,Returning,SMB,Retail,38.08397397989355
2023-11-22,West,New York,Alice,Epsilon,Electronics,42,3491.48,1331.75,Returning,SMB,Online,38.14285059630873
2023-11-22,West,Michigan,Diana,Epsilon,Electronics,42,3072.49,515.81,New,SMB,Retail,16.788012328762665
2023-11-21,North,Ohio,Bob,Gamma,Furniture,8,439.33,94.34,New,SMB,Online,21.473607538752194
2023-11-21,East,New York,Bob,Beta,Electronics,28,984.25,360.88,Returning,SMB,Online,36.66548133096266
2023-11-20,North,Florida,Alice,Alpha,Electronics,43,4171.9,1552.84,Returning,Individual,Retail,37.221409909154104
2023-11-20,South,Michigan,Bob,Alpha,Furniture,9,810.44,102.49,New,Individual,Online,12.646216869848475
2023-11-19,West,North Carolina,Charlie,Gamma,Office Supplies,12,689.28,145.64,New,Enterprise,Online,21.129294336118846
2023-11-18,East,Georgia,Bob,Delta,Office Supplies,31,1222.11,217.32,Returning,SMB,Retail,17.78236001669244
2023-11-18,South,Ohio,Alice,Alpha,Electronics,29,744.92,218.27,New,SMB,Retail,29.301133007571284
2023-11-18,West,Ohio,Alice,Epsilon,Furniture,2,140.36,15.51,New,SMB,Retail,11.05015673981191
2023-11-18,East,Florida,Bob,Beta,Office Supplies,33,823.51,290.77,New,SMB,Online,35.30861798885259
2023-11-18,East,Georgia,Diana,Delta,Office Supplies,25,2014.13,638.94,New,SMB,Online,31.72287786786355
2023-11-17,North,California,Diana,Epsilon,Furniture,20,624.21,166.43,New,Individual,Retail,26.662501401771838
2023-11-16,East,Florida,Diana,Delta,Electronics,13,635.66,100.2,Returning,Individual,Retail,15.763143819022748
2023-11-16,North,New York,Bob,Gamma,Office Supplies,46,3264.65,362.79,New,Enterprise,Online,11.112676703475104
2023-11-16,South,Texas,Bob,Delta,Electronics,49,1910.08,429.45,New,SMB,Retail,22.483351482660414
2023-11-16,South,Texas,Bob,Gamma,Electronics,12,532.35,115.17,Returning,Enterprise,Retail,21.63426317272471
2023-11-15,South,California,Diana,Epsilon,Furniture,37,740.25,166.13,New,SMB,Retail,22.44241810199257
2023-11-15,South,New York,Alice,Beta,Furniture,49,4337.66,931.15,Returning,Enterprise,Retail,21.466643305376632
2023-11-15,South,Ohio,Charlie,Epsilon,Electronics,14,324.19,76.47,New,SMB,Retail,23.588019371356303
2023-11-14,North,Georgia,Alice,Delta,Office Supplies,36,2818.11,787.32,Returning,SMB,Online,27.93787325547974
2023-11-14,East,Texas,Bob,Gamma,Office Supplies,20,1994.21,737.83,Returning,Enterprise,Retail,36.99861097878358
2023-11-14,North,Texas,Diana,Alpha,Furniture,6,147.48,40.21,New,SMB,Online,27.26471385950638
2023-11-13,West,California,Charlie,Beta,Electronics,31,2058.7,487.85,Returning,Enterprise,Online,23.696993248166322
2023-11-13,North,Florida,Charlie,Beta,Furniture,46,1047.4,189.88,Returning,SMB,Online,18.128699637196867
2023-11-13,North,Texas,Charlie,Delta,Furniture,11,993.78,217.47,New,SMB,Online,21.883112962627543
2023-11-13,South,North Carolina,Diana,Alpha,Office Supplies,11,1048.65,113.72,Returning,Enterprise,Online,10.844419014923949
2023-11-11,West,Illinois,Charlie,Epsilon,Electronics,34,2512.08,871.14,New,SMB,Retail,34.678035731346135
2023-11-09,West,Georgia,Alice,Delta,Office Supplies,17,380.65,45.07,Returning,SMB,Online,11.840273216865887
